Code,Area,Period,Mean_Price,Median_Price
E09000021,Kingston upon Thames,Year ending Dec 1996,106789.33994,86000.0
E09000022,Lambeth,Year ending Dec 1996,95723.447718,75000.0
E09000023,Lewisham,Year ending Dec 1996,62845.549242,57500.0
E09000024,Merton,Year ending Dec 1996,103988.67212,80000.0
E09000025,Newham,Year ending Dec 1996,50082.428697,50000.0
E09000026,Redbridge,Year ending Dec 1996,80572.361063,71000.0
E09000027,Richmond upon Thames,Year ending Dec 1996,150296.17269,118500.0
E09000028,Southwark,Year ending Dec 1996,87616.787995,72625.0
E09000029,Sutton,Year ending Dec 1996,79561.092037,69000.0
E09000030,Tower Hamlets,Year ending Dec 1996,88714.688969,77000.0
E09000031,Waltham Forest,Year ending Dec 1996,60623.329995,56000.0
E09000032,Wandsworth,Year ending Dec 1996,120487.73021,94000.0
E09000033,Westminster,Year ending Dec 1996,190416.96667,133000.0
E12000001,North East,Year ending Dec 1996,50870.181267,44500.0
E12000002,North West,Year ending Dec 1996,54395.146339,46250.0
E12000003,Yorkshire And The Humber,Year ending Dec 1996,54600.546304,46500.0
E12000004,East Midlands,Year ending Dec 1996,56250.126577,47450.0
E12000005,West Midlands,Year ending Dec 1996,61110.753236,51000.0
E12000006,East of England,Year ending Dec 1996,71411.397189,58800.0
E12000007,London,Year ending Dec 1996,105337.09884,77000.0
E12000008,South East,Year ending Dec 1996,86110.428619,68500.0
E12000009,South West,Year ending Dec 1996,68242.111262,57250.0
E92000001,England,Year ending Dec 1996,72336.04588,57500.0
W92000004,Wales,Year ending Dec 1996,51688.328169,45000.0
K04000001,England And Wales,Year ending Dec 1996,71448.563418,57000.0
E09000001,City of London,Year ending Mar 1997,142327.98108,126502.5
E09000002,Barking and Dagenham,Year ending Mar 1997,52224.919741,49950.0
E09000003,Barnet,Year ending Mar 1997,114974.82969,89500.0
E09000004,Bexley,Year ending Mar 1997,71221.126469,67000.0
E09000005,Brent,Year ending Mar 1997,85173.72432,75000.0
E09000006,Bromley,Year ending Mar 1997,98496.108579,81000.0
E09000007,Camden,Year ending Mar 1997,176378.06443,132950.0
