Year,Area,Number of Individuals,Mean £,Median £
2012,Enfield,"143,000","30,800","22,700"
2012,Greenwich,"115,000","31,500","22,600"
2012,Hackney,"101,000","32,700","24,300"
2012,Hammersmith and Fulham,"93,000","54,300","27,600"
2012,Haringey,"124,000","35,400","23,300"
2012,Harrow,"124,000","33,300","24,000"
2012,Havering,"128,000","30,600","23,500"
2012,Hillingdon,"136,000","30,100","23,200"
2012,Hounslow,"133,000","32,200","22,400"
2012,Islington,"105,000","48,400","28,500"
2012,Kensington and Chelsea,"70,000","131,000","37,800"
2012,Kingston-upon-Thames,"83,000","39,900","26,500"
2012,Lambeth,"148,000","37,600","26,000"
2012,Lewisham,"121,000","30,400","23,000"
2012,Merton,"105,000","44,400","25,800"
2012,Newham,"130,000","23,100","18,500"
2012,Redbridge,"128,000","31,800","23,800"
2012,Richmond-upon-Thames,"102,000","58,800","33,400"
2012,Southwark,"135,000","37,500","25,000"
2012,Sutton,"97,000","32,400","25,000"
2012,Tower Hamlets,"115,000","39,000","25,800"
2012,Waltham Forest,"121,000","26,200","21,400"
2012,Wandsworth,"155,000","54,700","31,000"
2012,Westminster,"99,000","92,200","35,200"
2012,,,,
2012,North East,"1,160,000","25,000","19,700"
2012,North West,"3,260,000","26,000","19,700"
2012,Yorkshire and The Humber,"2,380,000","25,600","19,600"
2012,East Midlands,"2,170,000","26,400","19,900"
2012,West Midlands,"2,530,000","26,000","19,900"
2012,East of England,"2,950,000","30,900","21,900"
2012,London,"3,930,000","39,900","24,600"
2012,South East,"4,500,000","33,700","23,100"
2012,South West,"2,670,000","27,000","20,300"
2012,,,,
2012,England,"25,500,000","30,100","21,200"
2012,Wales,"1,390,000","24,300","19,400"
2012,Scotland,"2,590,000","27,800","21,100"
2012,Northern Ireland,"732,000","24,900","19,600"
2012,,,,
2012,United Kingdom,"30,600,000","29,600","21,000"
,,,,
2013,City of London,"9,000","151,000","65,300"
2013,Barking and Dagenham,"77,000","24,600","21,000"
2013,Barnet,"167,000","45,500","26,800"
2013,Bexley,"118,000","29,600","24,400"
2013,Brent,"150,000","29,700","21,300"
2013,Bromley,"173,000","39,000","27,200"
2013,Camden,"99,000","78,900","32,000"
2013,Croydon,"173,000","31,800","24,300"
2013,Ealing,"166,000","34,500","23,200"
2013,Enfield,"136,000","32,900","23,900"
2013,Greenwich,"110,000","34,200","23,500"
2013,Hackney,"100,000","36,300","26,000"
2013,Hammersmith and Fulham,"93,000","61,300","30,100"
2013,Haringey,"122,000","39,100","24,400"
2013,Harrow,"122,000","36,000","25,200"
2013,Havering,"122,000","31,300","24,700"
2013,Hillingdon,"139,000","31,300","23,600"
2013,Hounslow,"130,000","35,800","23,700"
2013,Islington,"104,000","51,900","28,700"
2013,Kensington and Chelsea,"71,000","156,000","37,600"
2013,Kingston-upon-Thames,"84,000","41,900","26,100"
2013,Lambeth,"151,000","40,600","26,800"
2013,Lewisham,"126,000","31,500","24,000"
2013,Merton,"105,000","48,700","27,800"
2013,Newham,"124,000","24,800","20,100"
2013,Redbridge,"130,000","33,100","25,100"
2013,Richmond-upon-Thames,"107,000","64,000","33,700"
2013,Southwark,"136,000","40,500","26,200"
2013,Sutton,"103,000","32,800","25,100"
2013,Tower Hamlets,"119,000","40,800","27,000"
2013,Waltham Forest,"124,000","27,000","21,900"
2013,Wandsworth,"164,000","59,900","31,900"
2013,Westminster,"100,000","107,000","36,400"
2013,,,,
2013,North East,"1,150,000","26,000","20,400"
2013,North West,"3,220,000","27,300","20,600"
2013,Yorkshire and The Humber,"2,360,000","26,700","20,400"
2013,East Midlands,"2,140,000","27,600","20,800"
2013,West Midlands,"2,500,000","27,200","20,500"
2013,East of England,"2,970,000","32,700","22,900"
2013,London,"3,950,000","43,300","25,600"
2013,South East,"4,480,000","35,700","23,900"
2013,South West,"2,670,000","28,400","21,200"
2013,,,,
2013,England,"25,400,000","31,900","22,100"
2013,Wales,"1,350,000","25,600","20,300"
2013,Scotland,"2,590,000","29,100","21,800"
2013,Northern Ireland,"730,000","25,600","20,100"
2013,,,,
2013,United Kingdom,"30,400,000","31,300","21,900"
,,,,
2014,City of London,"9,000","144,000","61,100"
2014,Barking and Dagenham,"74,000","25,500","21,800"
2014,Barnet,"175,000","45,800","27,100"
2014,Bexley,"122,000","30,200","24,400"
2014,Brent,"147,000","31,200","22,700"
2014,Bromley,"168,000","40,400","28,100"
2014,Camden,"104,000","79,200","33,100"
2014,Croydon,"176,000","32,600","25,100"
2014,Ealing,"167,000","35,300","24,600"
2014,Enfield,"137,000","34,400","25,300"
2014,Greenwich,"119,000","34,800","24,600"
2014,Hackney,"106,000","37,100","26,000"
2014,Hammersmith and Fulham,"92,000","62,000","30,100"
2014,Haringey,"126,000","39,500","25,800"
2014,Harrow,"120,000","37,000","26,100"
2014,Havering,"124,000","32,100","24,900"
2014,Hillingdon,"139,000","32,300","25,300"
2014,Hounslow,"129,000","36,800","24,700"
2014,Islington,"102,000","56,800","31,000"
2014,Kensington and Chelsea,"71,000","158,000","38,700"
2014,Kingston-upon-Thames,"79,000","43,600","29,100"
2014,Lambeth,"161,000","41,100","27,300"
2014,Lewisham,"135,000","32,400","24,900"
2014,Merton,"106,000","46,900","27,600"
2014,Newham,"130,000","25,400","20,200"
2014,Redbridge,"131,000","33,900","25,700"
2014,Richmond-upon-Thames,"104,000","64,600","35,800"
2014,Southwark,"140,000","41,600","27,700"
2014,Sutton,"102,000","33,600","25,900"
2014,Tower Hamlets,"121,000","41,800","26,600"
2014,Waltham Forest,"128,000","28,200","22,700"
2014,Wandsworth,"168,000","59,200","32,900"
2014,Westminster,"102,000","104,000","35,100"
2014,,,,
2014,North East,"1,120,000","26,600","20,800"
2014,North West,"3,230,000","28,000","21,100"
2014,Yorkshire and The Humber,"2,390,000","27,400","21,000"
2014,East Midlands,"2,160,000","28,200","21,200"
2014,West Midlands,"2,550,000","27,700","20,900"
2014,East of England,"2,980,000","33,200","23,200"
2014,London,"4,010,000","44,000","26,400"
2014,South East,"4,520,000","36,200","24,400"
2014,South West,"2,720,000","28,800","21,600"
2014,,,,
2014,England,"25,700,000","32,500","22,600"
2014,Wales,"1,340,000","26,300","21,000"
2014,Scotland,"2,600,000","29,700","22,100"
2014,Northern Ireland,"738,000","26,200","20,900"
2014,,,,
2014,United Kingdom,"30,700,000","31,800","22,400"
,,,,
2015,City of London,"10,000","142,000","60,000"
2015,Barking and Dagenham,"83,000","25,900","22,100"
2015,Barnet,"178,000","49,000","27,700"
2015,Bexley,"127,000","30,900","24,500"
2015,Brent,"154,000","32,600","23,200"
2015,Bromley,"171,000","43,500","29,800"
2015,Camden,"103,000","85,000","34,400"
2015,Croydon,"178,000","34,200","26,300"
2015,Ealing,"175,000","37,000","24,900"
2015,Enfield,"139,000","34,600","25,100"
2015,Greenwich,"121,000","37,300","25,600"
2015,Hackney,"109,000","40,200","27,800"
2015,Hammersmith and Fulham,"97,000","69,700","32,000"
2015,Haringey,"131,000","41,700","25,600"
2015,Harrow,"130,000","38,500","26,300"
2015,Havering,"128,000","33,600","26,000"
2015,Hillingdon,"145,000","33,900","25,900"
2015,Hounslow,"135,000","38,400","25,000"
2015,Islington,"109,000","58,900","31,100"
2015,Kensington and Chelsea,"74,000","178,000","37,500"
2015,Kingston-upon-Thames,"80,000","45,800","30,300"
2015,Lambeth,"161,000","43,700","28,400"
2015,Lewisham,"131,000","34,500","25,800"
2015,Merton,"108,000","50,800","28,500"
2015,Newham,"136,000","27,300","22,100"
2015,Redbridge,"140,000","35,300","26,400"
2015,Richmond-upon-Thames,"104,000","67,300","35,500"
2015,Southwark,"144,000","44,200","27,100"
2015,Sutton,"102,000","35,400","27,400"
2015,Tower Hamlets,"122,000","45,000","28,900"
2015,Waltham Forest,"135,000","29,400","23,900"
2015,Wandsworth,"171,000","63,600","34,200"
2015,Westminster,"105,000","109,000","37,800"
2015,,,,
2015,North East,"1,150,000","27,600","21,500"
2015,North West,"3,260,000","29,300","21,900"
2015,Yorkshire and The Humber,"2,410,000","28,400","21,500"
2015,East Midlands,"2,210,000","29,600","22,100"
2015,West Midlands,"2,570,000","29,200","21,900"
2015,East of England,"3,040,000","35,000","24,100"
2015,London,"4,130,000","46,700","27,200"
